year_num,week_num,device,no_of_users
2014,18,acer aspire desktop,10
2014,18,acer aspire notebook,21
2014,18,amazon fire phone,4
2014,18,asus chromebook,23
2014,18,dell inspiron desktop,21
2014,18,dell inspiron notebook,49
2014,18,hp pavilion desktop,15
2014,18,htc one,16
2014,18,ipad air,30
2014,18,ipad mini,21
2014,18,iphone 4s,21
2014,18,iphone 5,70
2014,18,iphone 5s,45
2014,18,kindle fire,6
2014,18,lenovo thinkpad,90
2014,18,macbook air,57
2014,18,macbook pro,154
2014,18,mac mini,8
2014,18,nexus 10,16
2014,18,nexus 5,43
2014,18,nexus 7,20
2014,18,nokia lumia 635,19
2014,18,samsumg galaxy tablet,8
2014,18,samsung galaxy note,7
2014,18,samsung galaxy s4,56
2014,18,windows surface,10
2014,19,acer aspire desktop,26
2014,19,acer aspire notebook,34
2014,19,amazon fire phone,9
2014,19,asus chromebook,42
2014,19,dell inspiron desktop,58
2014,19,dell inspiron notebook,78
2014,19,hp pavilion desktop,37
2014,19,htc one,19
2014,19,ipad air,52
2014,19,ipad mini,29
2014,19,iphone 4s,47
2014,19,iphone 5,114
2014,19,iphone 5s,70
2014,19,kindle fire,26
2014,19,lenovo thinkpad,155
2014,19,macbook air,119
2014,19,macbook pro,248
2014,19,mac mini,12
2014,19,nexus 10,30
2014,19,nexus 5,73
2014,19,nexus 7,29
2014,19,nokia lumia 635,34
2014,19,samsumg galaxy tablet,11
2014,19,samsung galaxy note,15
2014,19,samsung galaxy s4,80
2014,19,windows surface,10
2014,20,acer aspire desktop,22
2014,20,acer aspire notebook,40
2014,20,amazon fire phone,12
2014,20,asus chromebook,26
2014,20,dell inspiron desktop,36
2014,20,dell inspiron notebook,82
2014,20,hp pavilion desktop,40
2014,20,htc one,32
2014,20,ipad air,53
2014,20,ipad mini,37
2014,20,iphone 4s,40
2014,20,iphone 5,113
2014,20,iphone 5s,77
2014,20,kindle fire,20
2014,20,lenovo thinkpad,176
2014,20,macbook air,110
2014,20,macbook pro,261
2014,20,mac mini,19
2014,20,nexus 10,25
2014,20,nexus 5,84
2014,20,nexus 7,41
2014,20,nokia lumia 635,22
2014,20,samsumg galaxy tablet,6
2014,20,samsung galaxy note,11
2014,20,samsung galaxy s4,90
2014,20,windows surface,15
2014,21,acer aspire desktop,23
2014,21,acer aspire notebook,40
2014,21,amazon fire phone,10
2014,21,asus chromebook,39
2014,21,dell inspiron desktop,52
2014,21,dell inspiron notebook,84
2014,21,hp pavilion desktop,31
2014,21,htc one,27
2014,21,ipad air,54
2014,21,ipad mini,32
2014,21,iphone 4s,56
2014,21,iphone 5,128
2014,21,iphone 5s,75
2014,21,kindle fire,22
2014,21,lenovo thinkpad,177
2014,21,macbook air,119
2014,21,macbook pro,256
2014,21,mac mini,25
2014,21,nexus 10,23
2014,21,nexus 5,99
2014,21,nexus 7,31
2014,21,nokia lumia 635,21
2014,21,samsumg galaxy tablet,9
2014,21,samsung galaxy note,18
2014,21,samsung galaxy s4,92
2014,21,windows surface,19
2014,22,acer aspire desktop,28
2014,22,acer aspire notebook,47
2014,22,amazon fire phone,4
2014,22,asus chromebook,38
2014,22,dell inspiron desktop,41
2014,22,dell inspiron notebook,81
2014,22,hp pavilion desktop,42
2014,22,htc one,20
2014,22,ipad air,51
2014,22,ipad mini,25
2014,22,iphone 4s,46
2014,22,iphone 5,136
2014,22,iphone 5s,71
2014,22,kindle fire,30
2014,22,lenovo thinkpad,164
2014,22,macbook air,107
2014,22,macbook pro,244
2014,22,mac mini,18
2014,22,nexus 10,24
2014,22,nexus 5,94
2014,22,nexus 7,29
2014,22,nokia lumia 635,25
2014,22,samsumg galaxy tablet,6
2014,22,samsung galaxy note,20
2014,22,samsung galaxy s4,84
2014,22,windows surface,17
2014,23,acer aspire desktop,25
2014,23,acer aspire notebook,39
2014,23,amazon fire phone,5
2014,23,asus chromebook,51
2014,23,dell inspiron desktop,53
